data,adset_id,adset_name,campaign_id,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada,sessoes,leads_com_sessao
2026-07-22,120247506551600278,[AFS] [F3] [MBALI BUTHELEZI] V4,120247506424170278,12,12,11,6,39,0.61,0,0
2026-07-22,120247506560570278,[AFS] [F3] [MBALI BUTHELEZI] V5,120247506424170278,18,18,15,18,57,2.54,0,0
2026-07-22,120247506567820278,[AFS] [F3] [MBALI BUTHELEZI] V6,120247506424170278,17,17,13,3,51,0.59,0,0
2026-07-22,120247510472600278,[AFS] [F3] [Amarachi Nwafor] V1,120247510472480278,17,17,17,0,54,1.11,0,0
2026-07-22,120247511200720278,[AFS] [F3] [Amarachi Nwafor] V2,120247510472480278,13,13,13,7,39,1.58,0,0
2026-07-22,120247511268740278,[AFS] [F3] [Amarachi Nwafor] V3,120247510472480278,6,6,6,0,18,0.36,0,0
2026-07-22,120247511278660278,[AFS] [F3] [Amarachi Nwafor] V4,120247510472480278,9,9,9,6,30,1.65,0,0
2026-07-22,120247511285940278,[AFS] [F3] [Amarachi Nwafor] V5,120247510472480278,6,6,6,2,18,0.42,0,0
2026-07-22,120247511291500278,[AFS] [F3] [Amarachi Nwafor] V6,120247510472480278,8,8,8,0,24,0.44,0,0
2026-07-22,120247511324670278,[AFS] [F3] [Chinelo Umeh] V1,120247511324690278,6,6,6,5,18,0.94,0,0
2026-07-22,120247511421230278,[AFS] [F3] [Chinelo Umeh] V2,120247511324690278,5,5,5,3,15,0.80,0,0
2026-07-22,120247511427740278,[AFS] [F3] [Chinelo Umeh] V3,120247511324690278,5,5,5,0,15,0.52,0,0
2026-07-22,120247511436300278,[AFS] [F3] [Chinelo Umeh] V4,120247511324690278,4,4,4,0,12,0.56,0,0
2026-07-22,120247511443330278,[AFS] [F3] [Chinelo Umeh] V5,120247511324690278,15,15,15,3,48,1.29,0,0
2026-07-22,120247511457850278,[AFS] [F3] [Chinelo Umeh] V6,120247511324690278,10,10,10,5,30,1.32,0,0
2026-07-22,120247511492340278,[AFS] [F3] [OLUCHI EZEANI] V1,120247511492330278,9,9,9,6,33,0.93,0,0
2026-07-22,120247511563030278,[AFS] [F3] [OLUCHI EZEANI] V2,120247511492330278,6,6,6,6,21,0.78,0,0
2026-07-22,120247511574100278,[AFS] [F3] [OLUCHI EZEANI] V3,120247511492330278,14,14,14,11,48,3.08,0,0
2026-07-22,120247511580070278,[AFS] [F3] [OLUCHI EZEANI] V4,120247511492330278,10,10,10,3,30,0.49,0,0
2026-07-22,120247511592870278,[AFS] [F3] [OLUCHI EZEANI] V5,120247511492330278,15,15,15,8,45,1.07,0,0
2026-07-22,120247511637820278,[AFS] [F3] [OLUCHI EZEANI] V6,120247511492330278,16,16,16,0,48,0.43,0,0
2026-07-22,120253057249320281,[AFS] [F3] [AYANDA] V1,120253057249230281,2,2,2,3,6,0.17,0,0
2026-07-22,120253057288510281,[AFS] [F3] [AYANDA] V2,120253057249230281,12,12,12,15,36,1.42,0,0
2026-07-22,120253057293970281,[AFS] [F3] [AYANDA] V3,120253057249230281,10,10,10,9,24,0.84,0,0
2026-07-22,120253057299420281,[AFS] [F3] [AYANDA] V4,120253057249230281,13,13,13,15,39,1.14,0,0
2026-07-22,120253057306490281,[AFS] [F3] [AYANDA] V5,120253057249230281,10,10,10,3,21,0.54,0,0
2026-07-22,120253057315290281,[AFS] [F3] [AYANDA] V6,120253057249230281,6,6,6,6,18,0.83,0,0
2026-07-22,120253057329180281,[AFS] [F3] [KHANYISA MTHEMBU] V1,120253057329110281,5,5,5,0,6,0.00,0,0
2026-07-22,120253057385670281,[AFS] [F3] [KHANYISA MTHEMBU] V2,120253057329110281,7,7,7,6,18,0.32,0,0
2026-07-22,120253057396940281,[AFS] [F3] [KHANYISA MTHEMBU] V3,120253057329110281,8,8,8,10,21,0.72,0,0
2026-07-22,120253057400840281,[AFS] [F3] [KHANYISA MTHEMBU] V4,120253057329110281,17,17,17,24,48,2.36,0,0
2026-07-22,120253057404980281,[AFS] [F3] [KHANYISA MTHEMBU] V5,120253057329110281,13,13,13,13,36,1.63,0,0
