data,adset_id,campaign_id,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-23,120247360141440278,120247360141370278,1.48,1.33,23,5,64.19
2026-07-23,120247360141470278,120247360141370278,1.1,0.99,24,4,45.96
2026-07-23,120247360141480278,120247360141370278,4.37,3.94,35,7,124.93
2026-07-23,120247360141490278,120247360141370278,3.5,3.15,40,10,87.6
2026-07-23,120247360356770278,120247360356710278,3.12,2.81,44,8,71.01
2026-07-23,120247360356790278,120247360356710278,3.98,3.58,66,5,60.33
2026-07-23,120247360356800278,120247360356710278,1.58,1.42,30,3,52.62
2026-07-23,120247360356810278,120247360356710278,6.06,5.45,89,17,68.05
2026-07-23,120247360356820278,120247360356710278,1.46,1.31,19,3,76.82
2026-07-23,120247360356830278,120247360356710278,1.54,1.39,37,5,41.64
2026-07-23,120247360531040278,120247360531070278,3.97,3.58,21,5,189.27
2026-07-23,120247360531120278,120247360531070278,8.87,7.98,113,27,78.47
2026-07-23,120247360531130278,120247360531070278,2.21,1.99,35,6,63.26
2026-07-23,120247360531140278,120247360531070278,4.67,4.2,110,15,42.47
2026-07-23,120247360531150278,120247360531070278,5.72,5.15,51,5,112.18
2026-07-23,120247360531160278,120247360531070278,2.71,2.44,27,7,100.33
2026-07-23,120247382249470278,120247382249440278,2.67,2.4,58,3,46.06
2026-07-23,120247382249520278,120247382249440278,0.6,0.54,17,3,35.48
2026-07-23,120247382249530278,120247382249440278,3.93,3.53,100,11,39.27
2026-07-23,120247382249540278,120247382249440278,5.98,5.38,118,12,50.66
2026-07-23,120247382249550278,120247382249440278,3.53,3.17,60,5,58.77
2026-07-23,120247382249560278,120247382249440278,1.42,1.27,35,5,40.44
2026-07-23,120247382323040278,120247382322970278,5.75,5.18,84,15,68.49
2026-07-23,120247382323050278,120247382322970278,5.73,5.15,85,14,67.37
2026-07-23,120247382323060278,120247382322970278,8.88,7.99,128,24,69.39
2026-07-23,120247382323070278,120247382322970278,3.43,3.09,56,5,61.32
