data,conta,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes_meta,alcance,frequencia,cpm,cliques_link,ctr_link,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada_brl,sessoes,leads_com_sessao,gap_clique_sessao,pct_chegada_blog,sessoes_por_lead,taxa_qualificacao,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791370278,[AFS] [F3] [FOLASADE ADEYEMI] V3,1.07,687,681,1.0088,1.56,51,7.4236,0.021,53,0.0202,PAUSED,1,29,29,28,17,93,2.30,0,0,29,0,,18.3,3.21,2.89,45,5,71.33
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791380278,[AFS] [F3] [FOLASADE ADEYEMI] V2,0.97,658,651,1.0108,1.47,30,4.5593,0.0323,45,0.0216,PAUSED,1,23,23,21,14,75,2.28,0,0,23,0,,18.7,2.78,2.51,58,6,48
2026-07-22,C 01,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791390278,[AFS] [F3] [FOLASADE ADEYEMI] V1,1.12,611,588,1.0391,1.83,69,11.293,0.0162,62,0.0181,PAUSED,1,31,31,27,29,99,3.00,0,0,31,0,,29.3,4.27,3.85,58,9,73.69
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464720278,[AFS] [F3] [NOMVULA MOKOENA] V6,1.07,671,642,1.0452,1.59,42,6.2593,0.0255,47,0.0228,CAMPAIGN_PAUSED,1,25,25,24,19,75,1.79,0,0,25,0,,25.3,1.52,1.37,23,3,66.28
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464770278,[AFS] [F3] [NOMVULA MOKOENA] V4,0.95,689,689,1,1.38,26,3.7736,0.0365,56,0.017,PAUSED,1,25,25,23,20,75,3.07,0,0,25,0,,26.7,7.22,6.5,108,20,66.84
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464780278,[AFS] [F3] [NOMVULA MOKOENA] V5,1.03,627,605,1.0364,1.64,28,4.4657,0.0368,64,0.0161,PAUSED,1,33,33,30,28,90,4.45,0,0,33,0,,31.1,10.09,9.08,120,22,84.12
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464790278,[AFS] [F3] [NOMVULA MOKOENA] V2,0.72,384,378,1.0159,1.88,37,9.6354,0.0195,49,0.0147,PAUSED,1,24,24,20,12,75,1.51,0,0,24,0,,16,1.34,1.21,28,4,47.9
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464800278,[AFS] [F3] [NOMVULA MOKOENA] V1,0.99,516,499,1.0341,1.92,33,6.3953,0.03,58,0.0171,PAUSED,1,24,24,20,12,78,1.48,0,0,24,0,,15.4,3.2,2.88,55,6,58.19
2026-07-22,C 01,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464810278,[AFS] [F3] [NOMVULA MOKOENA] V3,0.99,591,581,1.0172,1.68,22,3.7225,0.045,35,0.0283,PAUSED,1,17,17,15,13,51,2.11,0,0,17,0,,25.5,1.83,1.64,30,8,60.89
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141400278,[AFS] [F3] [CHIPO MOYO]  V1,1,540,527,1.0247,1.85,48,8.8889,0.0208,38,0.0263,PAUSED,1,15,15,14,26,60,2.77,0,0,15,0,,43.3,4.24,3.81,61,10,69.48
